,,,,,,,,,,,,,,,,,,,,
,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,,,,,
,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,FMVP,,Player,Lg,Count
,Allen Iverson\iversal01,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,0.425,0.313,0.78,99,0.126,,,,,
,Billy Cunningham\cunnibi01,1966,1976,654,34.3,20.8,10.1,4,1.2,0.5,0.446,,0.72,63.2,0.135,,,,,
,Clyde Drexler\drexlcl01,1984,1998,1086,34.6,20.4,6.1,5.6,2,0.7,0.472,0.318,0.788,135.6,0.173,,,,,
,Dominique Wilkins\wilkido01,1983,1999,1074,35.5,24.8,6.7,2.5,1.3,0.6,0.461,0.319,0.811,117.5,0.148,,,,,
,Dave Cowens\cowenda01,1971,1983,766,38.6,17.6,13.6,3.8,1.1,0.9,0.46,0.071,0.783,86.3,0.14,,,,,
,George Gervin\gervige01,1977,1986,791,33.5,26.2,4.6,2.8,1.2,0.8,0.511,0.297,0.844,88.1,0.159,,,,,
,Bob McAdoo\mcadobo01,1973,1986,852,33.2,22.1,9.4,2.3,1,1.5,0.503,0.081,0.754,89.1,0.151,,,,,
,Earl Monroe\monroea01,1968,1980,926,32,18.8,3,3.9,1,0.3,0.464,,0.807,77.4,0.125,,,,,
,Dennis Rodman\rodmade01,1987,2000,911,31.7,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,89.8,0.15,,,,,
,Dwyane Wade\wadedw01,2004,2019,1054,33.9,22,4.7,5.4,1.5,0.8,0.48,0.293,0.765,120.7,0.162,1,,,,
,Steve Nash\nashst01,1997,2014,1217,31.3,14.3,3,8.5,0.7,0.1,0.49,0.428,0.904,129.7,0.164,,,,,
,Walt Bellamy\bellawa01,1962,1975,1043,37.3,20.1,13.7,2.4,0.7,0.6,0.516,,0.632,130,0.16,,,,,
,Tiny Archibald\architi01,1971,1984,876,35.6,18.8,2.3,7.4,1.1,0.1,0.467,0.224,0.81,83.4,0.128,,,,,
,Dennis Johnson\johnsde01,1977,1990,1100,32.7,14.1,3.9,5,1.3,0.6,0.445,0.172,0.797,82.6,0.11,1,,,,
,Reggie Miller\millere01,1988,2005,1389,34.3,18.2,3,3,1.1,0.2,0.471,0.395,0.888,174.4,0.176,,,,,
,Dirk Nowitzki\nowitdi01,1999,2019,1522,33.8,20.7,7.5,2.4,0.8,0.8,0.471,0.38,0.879,206.3,0.193,1,,,,
,Connie Hawkins\hawkico01,1970,1976,499,34.5,16.5,8,4.1,1.2,0.8,0.467,,0.785,47.5,0.132,,,,,
,Dave Bing\bingda01,1967,1978,901,36.4,20.3,3.8,6,1.3,0.2,0.441,,0.775,68.8,0.101,,,,,
,James Worthy\worthja01,1983,1994,926,32.4,17.6,5.1,3,1.1,0.7,0.521,0.241,0.769,81.2,0.13,1,,,,
,Hal Greer\greerha01,1959,1973,1122,35.5,19.2,5,4,,,0.452,,0.801,102.7,0.124,,,,,
,Pete Maravich\maravpe01,1971,1980,658,37,24.2,4.2,5.4,1.4,0.3,0.441,0.667,0.82,46.7,0.092,,,,,
,Jack Twyman\twymaja01,1956,1966,823,31.8,19.2,6.6,2.3,,,0.45,,0.778,75,0.138,,,,,
,Bob Lanier\laniebo01,1971,1984,959,33.5,20.1,10.1,3.1,1.1,1.5,0.514,0.154,0.767,117.1,0.175,,,,,
,David Thompson\thompda01,1977,1984,509,32,22.1,3.8,3.2,0.9,0.8,0.504,0.277,0.778,50.8,0.15,,,,,
,Joe Fulks\fulksjo01,1947,1954,489,23.4,16.4,5.3,1.2,,,0.302,,0.766,29.2,-0.045,,,,,
,Sam Jones\jonessa01,1958,1969,871,27.9,17.7,4.9,2.5,,,0.456,,0.803,92.3,0.182,,,,,
,Gus Johnson\johnsgu01,1964,1973,581,34.7,17.1,12.7,2.7,,,0.44,,0.699,35.8,0.085,,,,,
,Robert Parish\parisro01,1977,1997,1611,28.4,14.5,9.1,1.4,0.8,1.5,0.537,0,0.721,147,0.154,,,,,
