Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
421,Ish Smith\smithis01,PG,32,WAS,19,1,20.6,2.3,6.1,.379,0.3,1.1,.250,2.1,5.1,.406,.401,0.3,0.8,.400,0.5,2.9,3.5,4.7,0.8,0.2,1.0,0.9,5.2
422,Jalen Smith\smithja04,PF,20,PHO,11,0,5.2,0.6,1.7,.368,0.2,0.7,.250,0.5,1.0,.455,.421,0.0,0.2,.000,0.5,0.5,1.0,0.2,0.0,0.2,0.1,0.4,1.5
423,Tony Snell\snellto01,SG,29,ATL,23,6,18.3,1.8,3.7,.482,1.5,2.7,.565,0.3,1.0,.261,.688,0.0,0.0,,0.5,1.6,2.0,1.2,0.1,0.3,0.6,1.3,5.1
424,Ray Spalding\spaldra01,C,23,HOU,2,0,9.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,1.0,.000,1.0,1.0,2.0,0.0,0.0,1.0,1.5,1.5,2.0
425,Cassius Stanley\stanlca01,SG,21,IND,8,0,2.9,0.3,0.9,.286,0.1,0.3,.500,0.1,0.6,.200,.357,0.5,0.6,.800,0.3,0.1,0.4,0.0,0.0,0.3,0.1,0.9,1.1
426,Lamar Stevens\stevela01,PF,23,CLE,24,0,14.4,1.6,3.9,.404,0.1,0.7,.118,1.5,3.2,.468,.415,1.0,1.3,.719,0.5,2.1,2.6,1.0,0.5,0.3,0.6,1.5,4.2
427,Isaiah Stewart\stewais01,C,19,DET,34,2,18.4,2.4,4.3,.555,0.0,0.1,.200,2.4,4.1,.567,.558,0.6,0.9,.688,2.4,3.4,5.8,0.7,0.5,1.0,0.9,2.6,5.4
428,Max Strus\strusma01,SF,24,MIA,19,0,14.9,2.5,5.4,.456,1.6,4.5,.365,0.8,0.9,.889,.607,0.5,0.7,.714,0.1,0.9,1.1,0.5,0.2,0.0,0.2,1.3,7.1
429,Edmond Sumner\sumneed01,SG,25,IND,22,4,11.4,1.9,3.7,.512,0.4,1.2,.346,1.5,2.5,.589,.567,0.9,1.2,.741,0.4,1.0,1.4,0.5,0.6,0.1,0.8,1.2,5.1
430,Jae'Sean Tate\tateja01,SF,25,HOU,34,22,27.4,4.0,7.4,.536,0.6,2.0,.319,3.3,5.4,.617,.579,1.3,1.7,.754,1.9,3.4,5.3,1.7,0.9,0.5,1.2,3.1,9.9
431,Jayson Tatum\tatumja01,SF,22,BOS,31,31,35.8,9.0,20.6,.437,2.6,7.1,.368,6.4,13.5,.474,.501,4.3,5.0,.859,0.6,6.5,7.1,4.5,1.4,0.5,2.5,1.9,24.9
432,Jeff Teague\teaguje01,PG,32,BOS,28,4,18.1,2.1,5.6,.373,0.7,1.6,.422,1.4,4.0,.354,.434,1.5,1.7,.896,0.3,1.4,1.6,2.1,0.8,0.2,1.1,1.2,6.4
433,Garrett Temple\templga01,SG,34,CHI,33,12,28.4,3.2,7.6,.428,1.4,4.0,.344,1.9,3.6,.521,.518,0.9,1.2,.816,0.6,2.6,3.2,2.1,0.9,0.5,1.0,2.3,8.8
434,Tyrell Terry\terryty01,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
435,Daniel Theis\theisda01,C,28,BOS,34,29,24.3,3.6,6.5,.564,0.8,2.1,.370,2.9,4.3,.660,.625,1.2,1.8,.667,1.3,3.7,5.0,1.4,0.6,1.1,1.0,2.9,9.3
436,Brodric Thomas\thomabr01,SG,24,HOU,4,0,6.0,0.5,1.8,.286,0.3,1.5,.167,0.3,0.3,1.000,.357,1.3,1.8,.714,0.3,0.8,1.0,1.0,0.3,0.3,1.0,1.3,2.5
437,Matt Thomas\thomama02,SG,26,TOR,21,0,6.9,0.9,2.2,.391,0.6,1.5,.387,0.3,0.7,.400,.522,0.2,0.3,.833,0.0,0.6,0.7,0.4,0.1,0.0,0.2,0.4,2.5
438,Tristan Thompson\thomptr01,PF,29,BOS,34,29,22.8,3.3,6.1,.531,0.0,0.1,.000,3.3,6.1,.539,.531,1.4,2.2,.632,3.1,5.2,8.3,1.0,0.4,0.4,0.9,2.1,7.9
439,Sindarius Thornwell\thornsi01,SG,26,NOP,11,1,4.8,0.5,1.2,.462,0.3,0.5,.500,0.3,0.6,.429,.577,0.0,0.2,.000,0.1,0.2,0.3,0.2,0.4,0.0,0.2,0.3,1.4
440,Matisse Thybulle\thybuma01,SG,23,PHI,33,2,18.1,1.2,3.2,.368,0.5,2.0,.262,0.7,1.2,.537,.448,0.2,0.4,.571,0.4,1.1,1.5,0.9,1.4,0.9,0.4,2.0,3.1
441,Killian Tillie\tilliki02,C,22,MEM,2,0,10.5,0.5,2.0,.250,0.5,1.0,.500,0.0,1.0,.000,.375,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.0,0.5,2.5,1.5
442,Xavier Tillman Sr.\tillmxa01,PF,22,MEM,27,7,20.4,3.0,5.9,.513,0.4,1.3,.286,2.6,4.6,.577,.544,0.6,0.9,.739,1.5,3.1,4.6,1.7,0.9,0.6,0.9,2.4,7.0
443,Obi Toppin\toppiob01,PF,22,NYK,27,0,12.7,1.9,4.0,.486,0.5,1.6,.295,1.4,2.3,.619,.547,0.4,0.5,.714,0.3,2.1,2.5,0.6,0.3,0.4,0.6,1.0,4.7
444,Juan Toscano-Anderson\toscaju01,SG,27,GSW,23,13,20.6,2.3,4.1,.564,0.7,1.5,.429,1.7,2.6,.644,.644,0.6,0.8,.722,0.7,3.8,4.5,2.2,0.6,0.5,1.1,2.1,5.8
445,Karl-Anthony Towns\townska01,C,25,MIN,16,16,32.8,7.9,15.9,.494,1.9,5.0,.375,6.0,10.9,.549,.553,4.4,4.8,.909,3.0,7.9,10.9,3.9,0.9,1.7,3.2,3.8,22.0
